日付,1番,2番,3番,4番,5番,6番,7番,8番,9番,勝敗,スコア,対戦相手,先発投手,責任投手,球場,開始
4月13日(水),淺間 大基,松本 剛,近藤 健介,清宮 幸太郎,野村 佑希,アルカンタラ,石井 一成,古川 裕大,万波 中正,●,3 - 4,西武,立野,●立野,ベルーナドーム,18:00
4月16日(土),アルカンタラ,野村 佑希,石井 一成,松本 剛,近藤 健介,淺間 大基,ヌニエス,郡 拓也,渡邉 諒,○,11 - 4,ロッテ,伊藤,○伊藤,ZOZOマリン,14:00
4月17日(日),アルカンタラ,細川 凌平,石井 一成,清宮 幸太郎,近藤 健介,野村 佑希,ヌニエス,宇佐見 真吾,淺間 大基,○,1 - 0,ロッテ,上沢,○北山,ZOZOマリン,14:00
4月19日(火),野村 佑希,近藤 健介,松本 剛,渡邉 諒,石井 一成,ヌニエス,万波 中正,宇佐見 真吾,上野 響平,○,2 - 0,楽天,加藤,○加藤,楽天生命パーク,18:00
4月20日(水),松本 剛,淺間 大基,野村 佑希,近藤 健介,渡邉 諒,石井 一成,今川 優馬,アルカンタラ,田宮 裕涼,●,2 - 4,楽天,ポンセ,●ポンセ,楽天生命パーク,18:00
4月21日(木),近藤 健介,松本 剛,今川 優馬,清宮 幸太郎,野村 佑希,石井 一成,ヌニエス,アルカンタラ,宇佐見 真吾,●,5 - 8,楽天,立野,●立野,楽天生命パーク,18:00
4月22日(金),近藤 健介,石井 一成,松本 剛,野村 佑希,渡邉 諒,万波 中正,ヌニエス,宇佐見 真吾,上野 響平,○,12 - 5,ソフトバンク,伊藤,○伊藤,札幌ドーム,18:00
4月23日(土),淺間 大基,松本 剛,近藤 健介,野村 佑希,石井 一成,万波 中正,今川 優馬,宇佐見 真吾,中島 卓也,●,3 - 9,ソフトバンク,上沢,●上沢,札幌ドーム,14:00
4月24日(日),近藤 健介,中島 卓也,松本 剛,野村 佑希,アルカンタラ,ヌニエス,清宮 幸太郎,宇佐見 真吾,万波 中正,●,4 - 11,ソフトバンク,杉浦,●杉浦,札幌ドーム,14:00
4月26日(火),アルカンタラ,ヌニエス,近藤 健介,松本 剛,石井 一成,野村 佑希,淺間 大基,宇佐見 真吾,上野 響平,●,2 - 3,オリックス,加藤,●北山,東京ドーム,18:00
4月27日(水),今川 優馬,石井 一成,近藤 健介,万波 中正,野村 佑希,ヌニエス,アルカンタラ,梅林 優貴,谷内 亮太,●,2 - 4,オリックス,ポンセ,●堀,東京ドーム,18:00
4月28日(木),近藤 健介,今川 優馬,淺間 大基,野村 佑希,石井 一成,アルカンタラ,ヌニエス,宇佐見 真吾,谷内 亮太,○,6 - 2,オリックス,伊藤,○伊藤,東京ドーム,18:00
4月30日(土),近藤 健介,今川 優馬,石井 一成,アルカンタラ,野村 佑希,松本 剛,清宮 幸太郎,宇佐見 真吾,淺間 大基,●,3 - 7,ロッテ,上沢,●上沢,ZOZOマリン,14:00
5月1日(日),近藤 健介,今川 優馬,松本 剛,野村 佑希,石井 一成,ヌニエス,アルカンタラ,淺間 大基,梅林 優貴,○,9 - 3,ロッテ,杉浦,○杉浦,ZOZOマリン,14:00
5月3日(火),中島 卓也,今川 優馬,松本 剛,淺間 大基,野村 佑希,近藤 健介,石井 一成,宇佐見 真吾,上野 響平,●,1 - 2,楽天,加藤,●加藤,札幌ドーム,14:00
5月4日(水),松本 剛,石井 一成,今川 優馬,ヌニエス,アルカンタラ,野村 佑希,谷内 亮太,万波 中正,田宮 裕涼,●,1 - 5,楽天,金子千尋,●金子千尋,札幌ドーム,14:00
5月5日(木),水野 達稀,淺間 大基,松本 剛,ヌニエス,野村 佑希,清宮 幸太郎,アルカンタラ,宇佐見 真吾,片岡 奨人,●,4 - 8,楽天,伊藤,●伊藤,札幌ドーム,13:00
5月6日(金),水野 達稀,野村 佑希,清宮 幸太郎,松本 剛,淺間 大基,ヌニエス,石井 一成,今川 優馬,梅林 優貴,●,0 - 5,西武,生田目,●生田目,ベルーナドーム,18:00
5月7日(土),谷内 亮太,今川 優馬,松本 剛,野村 佑希,ヌニエス,アルカンタラ,万波 中正,宇佐見 真吾,石井 一成,○,3 - 2,西武,上沢,○上沢,ベルーナドーム,14:00
5月8日(日),今川 優馬,中島 卓也,野村 佑希,石井 一成,松本 剛,清宮 幸太郎,万波 中正,宇佐見 真吾,谷内 亮太,●,1 - 5,西武,杉浦,●杉浦,ベルーナドーム,13:00
5月10日(火),淺間 大基,中島 卓也,清宮 幸太郎,野村 佑希,万波 中正,石井 一成,アルカンタラ,宇佐見 真吾,今川 優馬,●,2 - 4,オリックス,加藤,●加藤,札幌ドーム,18:00
